a,apple,avocado,alligator
b,banana,butterfly,balloon
c,cat,carousel,cupcake
d,dog,dolphin,dragon
e,elephant,eagle,eggplant
f,fox,flamingo,firefly
g,giraffe,grape,guitar
h,horse,hippo,hamburger
i,iguana,ice cream,island
j,jaguar,jellyfish,jet
k,koala,kiwi,kangaroo
l,lion,lemon,lighthouse
m,monkey,melon,mountain
n,narwhal,nutmeg,notebook
o,owl,orange,ocean
p,penguin,pineapple,piano
q,quokka,quinoa,queen
r,rabbit,rainbow,rocket
s,snake,starfruit,surfboard
t,tiger,tomato,telescope
u,unicorn,umbrella,ukulele
v,vampire bat,vanilla,volcano
w,whale,watermelon,windmill
x,x-ray fish,xylophone,xanadu
y,yeti,yogurt,yacht
z,zebra,zucchini,zigzag
